ArtistID,name,followers,popularity
52iM1kP5BpnLypZ0VtrpyY,Kwesi Arthur,213247,49
69YKwunlA0xl2yMS12cyMu,Gabriela Richardson,8056,44
1KNafMiV5Y3OhOr1A5tWwb,JYYE,21141,47
0S8NV7XoWi7arXWSRqI3dS,Lucidious,267716,48
6S0IvKlvPMX1RtAYtVpUV8,Drax Project,92702,57
2sf2owtFSCvz2MLfxmNdkb,Tinariwen,271944,46
1RQ3ZwCNI7KniEKIN5kkio,MATTN,145068,56
225l1KEprObX8xgl8xo2Gc,BluntOne,20640,53
44qTyRXwTktHVC0X1FGnJn,NORDO,151692,48
2eQ5uR5wKDEQ5zKPQyLHC1,Adham Nabulsi,1180257,22
2ieBl5s08uHBwM8sUPvg65,Nassif Zeytoun,808600,49
62IUrFqq28x2SbRdzm9sQt,Hassan Shakosh,1388526,48
23DYJsw4uSCguIqiTIDtcN,Southside,64192,59
1WDkNp8Duv9QhO246S4dDa,Bramsito,535866,54
1E8w172gkuT5htpwaIEsEl,Népal,220682,62
4W6fwRbqEy1dfEoE6OCyZu,Mathieu Koss,8664,53
31shErrQgVvu6r5rvF3unD,MD DJ,25023,49
64XqdWjtYhfMJeQB7wtAwS,Hiro,166766,48
4DMkrFIqGXLycc4YLYTn1i,Tiagz,133197,47
60bBAf1WFPnIwyBSfXj9xv,Chasner,1688,44
0lHB0Qc4pmD5RkTLlHeESo,MC L da Vinte,734783,59
1GfHpetDFhvqfm5pceDTrX,Lil Revive,100718,54
2yCHwCR4w8pZyoSCyoQQfx,Aylior,2534,47
1OHw2r7Diz2rc9JktaFV6N,Erika Sirola,4244,48
5rBFU1rhgs1nNghopuj9k8,((( O ))),93205,58
53ZDw5ZHldHJgaUjcJhdGc,Léa Castel,123537,47
3L7JnVovGbYSUmRyqhXMYO,Fairlane,27101,49
1xd5p7u9w8mQc2nU8GwBib,Paycheck,12220,52
1PVmM2c79UdIymMzxYlywJ,Lenni Kim,89565,43
3chqU15yLP7B3XRQpILQY2,Burgos,30973,51
4wP1kxjUsc9IR4Iy2smL7o,Trinidad Cardona,164705,63
6ft7JnxMyZhp7N52qzHymY,Vansire,197573,66
1UwKmyN6dKhzFNKSL3PgPG,(CGM) TY,5205,51
5aMIbwZQvP2MHPMVC5zCGj,ODIE,239292,63
2yJ6lsLqG06r9bckSTQRt4,Zkr,342429,63
0bmKQDkU4J3gUykZS8tb6v,LFERDA,400553,48
4xTiWBThjZgo1uZn1WpZm3,DJ Hamida,536828,54
3jrZXTzqSuTBdfJeoSts1n,Anas,162625,50
6cNWiizYLCClZdnIvqU968,AriBeatz,9751,43
3U7bOaJLuFkrmDQ1C1OqKl,HYO,402756,51
6FugQjLquBF4JzATRN70bR,Yot Club,223663,70
7Gz6VlTVwlNtBNMYV4OI3w,Shotgun Willy,317965,62
5QuZ9HdvnXcX8kEG782Phv,Le Rat Luciano,42771,52
5RCWMaArEntbkeWYVxCiFW,Everybody Loves an Outlaw,53318,59
7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,498042,66
1AxlE5JCJrJzVYa0ywJQqV,Omar Kamal,510761,45
4PgPJfNYhFaHAV5C5dFhYS,Smallx,282514,45
1YjaVTeHBlVRRxbk7H30HN,Lunis,7361,62
292jMVlKq180yzi8WRaVU6,7ari,326750,44
1XmQF3YXcIjv9PhNN69v8s,Adam Bü,2369,41
1PmrYsZvpVB9ilWx0eZHdr,Rileyy Lanez,33874,46
3zYU33YUxJPzsPrYmpMMiu,Aests,33870,46
6GETMwt7rbOZRXFnivRObG,Ragnar Seaholm,1118,33
7McJw5ZG7vJezw6ygrFagY,EMR3YGUL,5273,46
4J3vhZNPel1Tyj2GHsXi6i,Moji x Sboy,92732,53
6ONwLtT6vOzlO3pfZNAOMw,Paris Boy,24927,47
57GHC729HxFYHl1vGe1qaX,Badda TD,30070,46
0gGcw3tA1fZoF23qa8KFb7,Bolémvn,329239,57
5vPqlDBYNZiF5SrHGS6Cyt,Erin Bloomer,17883,43
7DICBAYiaIMh5MulqwCtET,AK,126454,52
26ebqYqothrkkGHWEvJy4D,Robert Cristian,27552,51
59XQUEHhy5830QsAsmhe2M,Silent Child,32368,57
5qVVvbyUOpNdgTGvNxzcMW,Ciscaux,35226,61
0xECfhlRzRRIIe2Co5HX6n,Squeezie,369218,52
5FF8xJSW4qUVU8bk79KYLT,lilbubblegum,220282,63
1nODcAdzs2eLjAp6AsrMzA,Michou,386597,42
53kxfycKPtWuSFpIuEHlGi,BrxkenBxy,18386,46
6U53xCCVXmyimAgsBjCS8P,Jess Benko,82696,55
3gIWD9hK0VEhgsSrLu19PU,YN Jay,76982,52
3uK7MCVwr7FSxnhNKso4Hi,a girl and a cat,11634,51
2fcn14wWIwWrnXAv89ovBk,Rifti Beats,28500,52
5WgRuO0mhM36NFoapzpWBH,Rashid,644835,53
6AwwLwgIsTIXZ8kHWaZUj5,Sandesh Shandilya,1112990,51
7lMgpN1tEBQKpRoUMKB8iw,Black M,1560936,53
3VZXmYrB3MxMfTZKIVZA1J,XANDDY HARMONIA,481,56
5C1S9XwxMuuCciutwMhp5t,KR$NA,446580,62
1sICjVlCMOCah0snHXWUz0,The BossHoss,245846,51
2qU0jqxiFeXrw5NTV1bIQM,The Orion Experience,139881,56
7vXwfZyDp3spzIVNXDaTPN,Metro Station,307413,54
1eQzZsJAtBVhN9WP62oXM2,Xir,344413,51
2chcxXpKxoQAwyqymdmbz9,MC Pat Flynn,71937,51
14V8ZRhL66NIzXAmYtQ8Vj,Kolton Moore & the Clever Few,36739,53
0MQjWOlXYUAlvDpF2PaJ8f,Marvin,1305,49
6w971ABEzbDRQVUfcbYrl9,Grupo H-100,399039,50
2TwUVWFJs4LD0lOBbJXnNa,Korede Bello,419596,49
7bdZVVcdyFjxVRj6vCVk9w,Jaxx & Vega,16651,48
2BwGxEffKsSjsQyKNtBgcQ,Desejo De Menina,410177,50
2T1se5h5FRkw7ZfR7yxdlm,Tayrone,263602,60
29QKtXMaVczUBDiI3aPBWS,FBC,147183,54
5zblJYkCzvB51Jh29FB07V,Eli Soares,685404,59
3bRGJQd7b4lE3ZAEMfOXJp,Luidji,270411,60
2GlEiSHYEKlq9cUYDa9oZb,Lynda,320900,61
0tMFcqLXhtm1Gep20iuIR3,SXTN,787103,60
7naAJDAh7AZnf18YYfQruM,Christian French,270835,61
0Vw76uk7P8yVtTClWyOhac,HONNE,1440577,66
0cjkWe9VXcECGiOEHFuTfc,Mc Lipi,960091,68
2qWK8K2Jfh67UqtwY8tCW6,YSY A,1180998,73
0pSx3asj3usz5PRt8COo0E,Ketama126,279253,62
1VBbewnHtegBSEB7kRXDzQ,PJ Masks,39413,56
6gGJH7joTDx9M3xREiAq9U,Petter Ferraz,18242,41
31VFEohvhOUKrtAONEBhMG,Kenia OS,2217902,72
7sOR7gk6XUlGnxj3p9F54k,half•alive,617604,61
4T2k9bgIoC8bbqjqiEl9vZ,Rhys Lewis,338030,61
6gvVFtkTV4OCyQSCzGgU1h,Nik Tendo,277288,62
57YFNq46Xx86nl7ETkd1Ei,Zach Callison,47904,62
2YIxQoGvBukvoC1CbJ7opS,Fynn Kliemann,271112,53
77YvCBWe0tTLygpgSJsdOH,Dhee,289871,59
0fTav4sBLmYOAzKuJw0grL,Mac Ayres,509174,59
5nKGeITSNCVP76muyOlszy,Elsa y Elmar,158085,63
39XT9gMoNmMCOlvTTR273m,K-Trap,154096,65
4tejKImNVmDcORNBuZ1l14,Kala Bhairava,281928,61
5qQdzyIlYfzICKOVdb7XvY,Samantha Machado,49056,49
2u5Aq4Kfss4UDbRKYH4KLS,Jorge,16,0
3RBqLTttwN1orqQozYfmJo,Emily Roberts,7760,52
6PIIKavZx20FlVKyIvb4Um,Calema,424794,60
5eLTULECbpoiNT8czpulxX,Fäaschtbänkler,97519,57
1WLEfsQjvgtFSGkrHonzFX,Amaia,290069,57
5Vz74ibGHBQaUa2ALDOH0v,Septeto Acarey,26061,53
5yLTSEQlxtbK0dyLmYAP3T,Vaggvisor,289,57
6beUvFUlKliUYJdLOXNj9C,King Princess,1602382,62
3bvfu2KAve4lPHrhEFDZna,Lola Indigo,818717,68
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,4037582,82
02qlwM8fpqep7vX8KKEFmK,LA Vision,7823,51
438DEJaM9KJdqbBUPnVYB0,FILV,22958,54
0L3wrFI3QcbXAvFL7IaPQX,Güneş,192600,68
2UHBgxDvOBaIY7hQ8CEAmW,Anneth,859980,51
1RP6w1culo2vykXGaiYdrQ,MÚSICA PARA NIÑOS,24163,51
1KQJOTeIMbixtnSWY4sYs2,Paky,523693,71
0Z0wQc5Y1kqVxgMgSXifZe,Hüsnü Arkan,153011,47
6xLv41SHPrVVfvyGd1M7ut,Ozan Doğulu,338204,54
0T7JQxpy1Li93vLNirbv0Z,Mad Season,505643,51
68rvMwPL0yMbYR5cv0pzCR,Elissa,2430024,54
0hgX6slgQFj1QpjpKHbcK1,Poke,30965,53
3VSHFjwG94ubNcoST9hfxX,Hugo,55825,48
51YBtWvwOP37hIGmnxf4yC,Candan Erçetin,991460,54
7J7IAR4rkzo4FcZTDid3Jk,Cash Flow,191931,50
5Oo6D3FLRpWjgBn0mqfiA3,Yeni Türkü,412951,50
4T83el9VQDI0zOyU9zcYNq,Soner Sarıkabadayı,786289,56
1fBcQOi8yEfWN7fknMoqIE,Patrice,151757,49
6I65kFgfXDWx56jwnip3TU,Hayki,262064,52
3aYxHPDvu8SETLVJBEUqld,Rober Hatemo,176201,48
4d6eKLLJbe2ZeiL07Du7vB,Natalia Bonner,476,50
0RkqytrwoGyXGvDiZwT6i2,Michael Andrews,29146,53
17aC1wctGme2P8YC6LVov2,Philippe Jaroussky,58121,45
6dn3wwfEYlRaQQUC8RLhTz,Maestro,68555,44
3ea1ZpptTqS5pwYYpQQVCo,Club des Belugas,86893,48
521Yl3LUvD7G9dMRO4fpCy,Korpiklaani,356677,52
2fYdUIUPS7aDdWCzb8Aw2k,Aşkın Nur Yengi,501850,53
533wb2q2kU814aFEWaIlG2,Güllü,284135,53
2TUYtKan3NuDy9JexzL4db,Murat Göğebakan,169956,50
3hzijSzD6IwOV4SY2SiWQp,Hayko Cepkin,722121,58
6ybd4tPF7McLj3BNhZavQi,Saian,217214,51
7GaMopkesD4KK9dNbgyO5D,Eko Fresh,304149,52
3OVWvBHwlq5w8iRJEBoCp2,Levent Yüksel,263257,52
4i6eVyyyPdSryQCzO7GK0K,Cansever,234374,43
1kOoLMi8Z7nDeIa0bSfM3N,Hepsi,155567,49
4FjxqqOXKI1eGLrYn3GUq4,Grup Yorum,422011,47
4fxp616ALtFWnXfwxnjLzW,Antony and the Johnsons,296188,47
49GY4uPAwdlk5lSGtfKWYl,MJ Cole,46812,50
0JsEdbcbEnibDPxBNqLhMZ,Muharrem Çoban,41393,41
6tRmpYzDIjWoRHzbJO7Cpx,Fuat,155200,47
37NqXwtb6nIEqRt4EJSoIO,Duffy,891814,60
3PDMMt0Ip2WHysoAOEAdBq,Ca$his,64227,52
187qoiisjzqvj3wsBWLotr,Leftside,12524,47
5PTDGbHPxxXf81RrubpIOO,Cutee B.,822,51
0rHmlPHC63IGBTrtQEdDw6,Barış Akarsu,668372,53
2AhmWHekrahJri4f5e08Tf,Hakan Altun,632017,55
6g7GF7BLC41JTHJwgB4wQW,Funda Arar,731070,62
27sJOP3QjNbw349IrcROwj,Badem,267441,49
5vbtZfRJjn2QLhPhtYpiqi,Daron Malakian and Scars On Broadway,162832,54
6bb9VI1PpPTEmdgcgjTppX,Mohamed Hamaki,3221306,54
2D5kO95AWEXMHRvqvCKb7K,Stegosaurus Rex,27022,50
2xjVYIMLS3nR5Y1UOr02Vb,FS Green,5113,50
6OkX55UMCw4Hgc5HM4zr7K,Ayọ,161799,47
1ZsnHGOLYFg8CAHQQBc1ut,Richard Hawley,128846,47
6RXvZtTyld421VPmJtLqkL,Fikret Kızılok,378351,49
6XUob2lASlLLaavOTAw9Vb,Kreepa,8371,40
6QwBhFIOXWri9BNtwoIlKY,Bernadette Carroll,19113,43
2d6W4cnC5XsVOaxtgaj9hA,Eva Simons,87555,54
2ZMnWI3oIHyj7MyuZ99gvu,Super Sako,27564,46
0iC8O5ABswVUFiYwM94bu3,Madrugada,143940,51
7D7k550IB6EszWmzVVCJSK,Helena Paparizou,122255,47
08j69Ndyx1P7RLO3Janb5P,Emilíana Torrini,181295,50
5txAC0hwbFB09Nv8Y1hPJl,Cult To Follow,83726,49
2NkpmkcWNxbWydBaETRfqT,Adam Gontier,22013,49
492hDmhPyuIjP3MgTcIqgm,Caro Emerald,323051,51
0z9s3P5vCzKcUBSxgBDyLU,Jonny Greenwood,139260,47
5NCKpzuowtihcIrIHFjKbJ,Nitin Sawhney,266442,43
1dp13r1d5Mp119KCR4BQvw,Ragga Oktay,8769,39
0Wj6u7zMY2dOLkJGz62bEp,Carlprit,12107,48
2R1OELuSJzXjRm8lc8FjPC,Rem Digga,141773,52
4CflzQprp6nZxKiv0t78tH,Mohamed Ramadan,999829,53
1jHQI26XkjY8BHwvDnh9Jw,Raphael Lake,11125,47
3ewQZ4iDkC9CQzceitueXe,Paolo Pellegrino,1841,48
7HLErdUiPhh7mg5AxVEAX0,Killa Hakan,263048,49
2Fu5huGG8iXC85P9akyYrr,Joker,154599,49
5Q26mEUNtBa8yfc3mVYqsp,Grup Abdal,93936,49
396gqBt8a2NN7gXtDWF7AJ,Ceylan,231628,44
650blPhpj24aloFTk941L3,Umut Timur,246637,51
3ZOk6bDH8ORFWZUA4qvevR,Gio Pika,111056,50
5LtHZB7vU02HtNoOzNcVhc,Ramy Sabry,1139277,48
1gyBRbQACz4JJX2HRROigK,Giorgos Mazonakis,286111,53
0G8zjE6SsFTlbglCkU8pm3,Starsailor,195149,48
0JnNzCUsHuDcUcBatOzuGP,Sonya Belousova,16224,52
6lO3fSdhsdpeOcrbqAJsRU,Aero Chord,208421,51
1dyZDfHcTtUJjx0DFBcOvc,René Aubry,84469,50
4Q3f2YYH4gQxWFS3WY5G3j,Soko,255955,50
6t7U7sYlVCtlMWzbecJcHd,Dhurata Dora,280069,63
1JV4iC1UhplRE8RFr8Q9n9,Paradis,144306,51
4vUAD0POkGvO6J9c9hv6qR,Lazy Jay,12619,51
0fwGtEcJ4v3H0btcbM0KWc,Richie Loop,4393,47
1peH5tSqnYm8W6Bo3I5egE,Kat Dahlia,294282,54
6qFEVczpjXakMuKcI5BBdc,Malukah,93517,47
1mpOD8ZwHnbsryIuXWq0R1,Zeynep Bastık,1651517,68
6dDaXbE1caD65TONToYXYx,Murat Dalkılıç,863862,56
1QZYklqR55tZ6b5mK4LD41,Kolpa,606063,58
4ESPwgMOkNWv8mZIfe2mdO,Tankurt Manas,487645,47
32d21ZV2sLX2sGdjefVMJg,Çağrı Sinci,76816,50
28bHkFlKKHHudmgvnfYpiJ,Deniz Seki,577471,49
0Aoou2kIWXrzTOfhFzmNqa,Halil Sezai,495311,51
1K3hYM185V2bhs9iRzFpIH,Barış Diri,14677,46
0HCkZtmMJLvUyWT5m0ojBX,Peter Gundry,144138,52
3wRt3iJpZDOg73CTUkfv5C,SVRCINA,86086,51
5nlhxXs2Lgr8nH98jC26pw,Costi,13769,53
2PIjtepywKZwGT0mZIumrW,Jonathan Stockhammer,427,48
3vJCYheZF5PWUvTIykvNG5,Secession Studios,54684,49
6J2bFI9tQDWfPHjoKHKrOu,Yung Felix,111971,56
7COP1HCvVq1cIpZcLQYoNe,Bedroom,210601,61
5KPJMJR9PCfMWSfco8i4W4,Alex Aiono,601232,51
6q8cNe6Wif1WvM97vcFD8O,AaRON,120083,47
4YLcK0MEyqFkdyyzbPTWrs,Can Kazaz,333338,48
1tgfi3YYoeXKehnjKaMsOo,Nilipek.,318814,48
18hpynG63scJYxOSDYHUVN,Burak King,772257,50
63RFns47gk00mnHIQ8zTR1,Pilli Bebek,396423,51
2crPPfVdmrxn5yUHLQVqOI,Ceylan Ertem,545715,49
2q3GG88dVwuQPF4FmySr9I,The Score,1160674,71
2mcNCn1qbZUQ3J9KHapUxj,The Dø,352582,49
2fJb06JRcuBWypwj46TQZj,Armand Amar,61984,49
5z275L9haKWG328mm7UFd3,Richard Judge,3356,51
6QyO41KctzGc70mVaVnXQO,CLC,1158181,53
6nHDuiu6PIpfWt6DswQHvL,Alpa Gun,184116,47
2GH5uRMxmuAWn90B8DEZU3,Pham,59039,51
1cH0i2n6YLrWFDDemqztay,Henning May,73458,53
3HUXmgW0AIko5psVtQmqWE,Jimmy Sax,136492,53
1FCJ4zmRfkGUOtY65Jettg,Victor Démé,25643,50
4wO1Ld1CKjm4vFMNUn7E7k,Jordan,40882,48
60J5TDNg9Xxp9zxDXpBOjM,Alicks,43170,49
7sTKZr30LqC928DZ5P9mNQ,Heilung,441763,55
4sldxVDeyb0J8OMoYApqfV,Kalben,690928,63
