id, name, release date, type, group, [contributing artist ids]
4jP1j4XYEliZhWpVkENsYn,"Goin Through It" Maxi-Single,2022-09-23,Album,Single,[6CsleyOZtyt16saX8WhzDx]
2Eg4ILMMJQYnOA0gZWTlSf,Back to the Basics,2021-01-15,Album,Album,[7frYUe4C7A42uZqCzD34Y4]
4ksodTRxbsjqJUHuzwhuEx,Udta Panjab,2020-05-23,Album,Album,[7frYUe4C7A42uZqCzD34Y4]
7cGig0KJGIk4HaI7qFynsF,Back from the Dead,2020-02-25,Album,Album,[7frYUe4C7A42uZqCzD34Y4]
6wAlPhxbUg8hgHFurCcF1K,I Am the Future,2019-03-28,Album,Album,[7frYUe4C7A42uZqCzD34Y4]
0C6RgcPPKO6LWs4xQUY7xu,Peacock,2022-09-09,Album,Single,[4qjiRRFcM4WZ0aJ3IHdWPN,7frYUe4C7A42uZqCzD34Y4]
7zCbzgOthL1ldcRd19nFZw,Husan De Charche,2022-07-31,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
2ZjCBtBoLBlVEo8KDS7d6h,Duniya,2022-06-03,Album,Single,[4T8KtF2YGesSSw3jgAVura,7frYUe4C7A42uZqCzD34Y4]
6mbFOxeExykR6XJLE617mk,Jatt Dont Care,2022-05-13,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
01aFOxHDsK8TWmgGNf1PSO,Puff Puff Pass,2022-03-24,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
33LJD3Y5WFHPxL4FBz8b5a,Gidhe Vich Nach Bhabhiye,2022-02-23,Album,Single,[2KM6EJoXSxoA8HhPNT1Cbi,7frYUe4C7A42uZqCzD34Y4]
3TiJ46OZ7npOL5wZlOxFmt,Rise of Punjabi HipHop,2022-02-02,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
34599fFTU00YFJRNvmkWV7,Real Love (feat. Joban Gill),2021-12-10,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
3gW0uoy9Z8bg4d8sFGkNnH,Scorpio,2021-12-01,Album,Single,[78rdC4FvVaOJmEgfjlUi4a,7frYUe4C7A42uZqCzD34Y4,3rJlJIcCjbAyj4X08YQqsS]
3UbewUayttmgHjqozwnhXy,Rabb De Viah (Marijuana),2021-11-26,Album,Single,[0OH9Yrx6nrpfmb8JeqgNjD,7frYUe4C7A42uZqCzD34Y4]
4K9TjBPl9DPwQJjIPOhZqd,Canadian (Remix),2021-10-09,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
59PUQpaFnQXHsiiCwBo1Lq,Canadian,2021-09-10,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
5yW6REmFIbfHFw7MSi7ASu,Crazy Life 2,2021-07-19,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
5Ej6pXP4hIEcoaInvNX1GR,Dhokhe Baaz,2021-06-26,Album,Single,[4452AKcmQh6NC4yNlTrR3D,7frYUe4C7A42uZqCzD34Y4]
6RQyrt77IyNPkC4uf2q3pJ,Mittran Da Naa,2021-04-23,Album,Single,[6L3F8cdWcweEu2d1kfggbH,7frYUe4C7A42uZqCzD34Y4]
4aCQMlYAVfDjLTEltthw7Q,2 Bhai,2021-03-25,Album,Single,[0D1zUm6fYTA4tzlGjmnYFw,7frYUe4C7A42uZqCzD34Y4]
3mtAzIKneriRoVGsCMEl7e,Kaarvayi,2021-03-13,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
1peK58VRNIIzksdSlZVCBj,Gora Rang,2021-02-14,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
6BPEfuC5n68gOOouH63Vm1,Patt Te Dunali,2020-12-29,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
7kAQb0m8UWLvalC8027QKw,Shokeen,2020-11-04,Album,Single,[70JrN2SQBFJHNanJSkshzs,1Q6LaK7fEt4xQu0ifJz4Q2,7frYUe4C7A42uZqCzD34Y4]
4Co1EPpedqhZ4lzPkoqyIX,Shadda,2020-10-23,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
6Gkk462pZAuBQRHs14R2Pv,Drama Queen,2020-09-12,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
3W9t0LFgP71nsjZKY7Q35R,Damn You,2020-06-11,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
4m0jFFYiIcqVFJ4kW1NLpr,Aulaad,2020-05-14,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
2a7G4hLUBoE9vnPOBeyb4C,Clutch Baliye,2019-12-10,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
6xFnwOS1cCGEBSW59rBj9V,Sultaan,2019-07-10,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
7EkpUNwxBmcm9TU8AFVWhw,Westside Flow,2019-05-18,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
7hLLmo9I4I4c1HKdohUSpX,Tctpm,2018-08-17,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
6utJVQuw5gpKHo0JVpz1dR,Lions of Punjab,2018-06-25,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
4fzoipnaNiLzf8zyfDCGxm,My Crazy Life,2018-06-25,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
2HnMgrPrnUShfUDiSgb4WQ,South Side Hustlers,2018-06-25,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
14c1dTiZqB6AhCuIdYSvS4,Bad Seed,2018-03-05,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
2Tenm3VQAm1NDMhDDGUg32,Bad Seed,2018-03-05,Album,Single,[7frYUe4C7A42uZqCzD34Y4]
6YmmmdUFRhDNTikXTT7Mz3,Ford Te Baraat,2017-11-12,Album,Single,[7frYUe4C7A42uZqCzD34Y4,3qeQunD7WhzS5P3dOW4ZCM]
6sWJ0v8N5eDHfLKBnVKaKR,Shotgun,2016-11-25,Album,Single,[6elXIpcnI6F24OC4au93Vh,7frYUe4C7A42uZqCzD34Y4]
7shAasLUc9cFkpxUc9U8NW,Something to Live For,2021-11-12,Album,Album,[6acbdy69rtlv8m9EW31MYl]
73chBzty2A658sLKCYy54h,Deal with It,2019-09-04,Album,Album,[6acbdy69rtlv8m9EW31MYl]
4mT2dPZH31DKN3ka7NGmZW,The PlayMaker,2016-11-01,Album,Album,[6acbdy69rtlv8m9EW31MYl]
5GugNhRd04HEEIDwMfjp2D,The Playmaker,2016-11-01,Album,Album,[6acbdy69rtlv8m9EW31MYl]
5Zhg797sEPjrogcC4XXaEP,No Guts No Glory,2014-05-15,Album,Album,[6acbdy69rtlv8m9EW31MYl]
0eiXxWZqtpfFK2CdUj6vqT,No Guts No Glory,2014-05-15,Album,Album,[6acbdy69rtlv8m9EW31MYl]
4F5E31UIFV8bhpC6cLNvUl,TOP MAMA,2022-10-13,Album,Single,[2NtQA3PY9chI8l65ejZLTP,3bxZkzk0PLHcetO9o4oxXn,6acbdy69rtlv8m9EW31MYl]
15RpgQFP9IUTH5aD6nhmFP,Full Current (That's My baby),2022-07-29,Album,Single,[6acbdy69rtlv8m9EW31MYl,6IhG3Yxm3UW98jhyBvrIut]
3HKilqWvytZNtmTMvyIfT0,BAGS,2022-07-08,Album,Single,[4on7a4BKixLl1rSlEcaY8Y,6acbdy69rtlv8m9EW31MYl]
0pxxxtJfvLuRS2vWvtOEly,Breakfast,2022-02-11,Album,Single,[23NKFSnR8yAUDQdub4vnIN,6acbdy69rtlv8m9EW31MYl]
2KMlpFqsylnjigJfLlOOsq,New Video,2022-02-04,Album,Single,[6C5VcMDwD9dQqIOM8VePTM,6acbdy69rtlv8m9EW31MYl]
0OwIe8eJw8mRfjJM5FPDZD,Do You Wrong,2021-11-08,Album,Single,[6acbdy69rtlv8m9EW31MYl]
13RRd735LR5ZlRK6RzKS4u,Stacks,2021-09-29,Album,Single,[6acbdy69rtlv8m9EW31MYl]
2CZJv6UkGMrJDCaGSVZVwo,Shamanya,2021-09-24,Album,Single,[0rckUWPb0n9j1nRlGFvjHt,6acbdy69rtlv8m9EW31MYl]
2rB7noSMfrIdgXy4goooaE,T.Y.B,2021-07-16,Album,Single,[6lDz9VhPe8FMyUEWpMdj2t,6acbdy69rtlv8m9EW31MYl,0Cu08qtw8B63QjP1jQX9fR]
5Eh96pf9G8wLUIc0TFASpq,Bia,2021-07-09,Album,Single,[6acbdy69rtlv8m9EW31MYl]
6TgR9zfNjqND5lRoOtFny3,Egbon,2021-04-23,Album,Single,[0lEUtJddtvvDlxtEmF9j0m,6acbdy69rtlv8m9EW31MYl]
6LJ7B5iY4CDnGCbTpsRQuI,Chupadia,2021-03-05,Album,Single,[0o0vON7d8F82EiVelpyhxs,6acbdy69rtlv8m9EW31MYl]
105o89weR3UOfBzx0Pb9FH,High Way,2020-12-18,Album,Single,[74feid8HSOjUPnhiV3BNBG,6acbdy69rtlv8m9EW31MYl]
5v0mjhE7hTpuAK7eXOPj2x,For the Money,2020-12-09,Album,Single,[6acbdy69rtlv8m9EW31MYl]
37Tphhbsjcz9UjSZSqKlDc,Papa Benji,2020-10-09,Album,Single,[12bnIxBXecZzYmrJKRbaQ4,0oKNR4ahj1CPnK2kQmbOfo,6acbdy69rtlv8m9EW31MYl]
74JfUIlFLGTVjDVhNxaXvz,Never,2020-10-05,Album,Single,[6acbdy69rtlv8m9EW31MYl]
0HcVRUCDyK2nCXsrSineIZ,Chop Life,2020-08-30,Album,Single,[0oKNR4ahj1CPnK2kQmbOfo,6acbdy69rtlv8m9EW31MYl]
7BypcwhX4N1SHKYmDmm7i0,What I See,2019-09-02,Album,Single,[6acbdy69rtlv8m9EW31MYl]
1Jgx625V2v5Z2Ucgit8UsI,The Bag,2019-07-07,Album,Single,[6acbdy69rtlv8m9EW31MYl]
4qXnPZLYixVXMjUpDFly11,The Bag,2019-07-04,Album,Single,[6acbdy69rtlv8m9EW31MYl]
7AS1d6vmA48MOxvFdJzrs0,Mr Successful,2018-12-31,Album,Single,[1DmW8OWm0vTGF18e7uhr52,3EoDvpKBNaacnxceTr2f2V,6acbdy69rtlv8m9EW31MYl]
60ekjAipvTruGhmuWmTltN,Oil,2018-12-08,Album,Single,[6acbdy69rtlv8m9EW31MYl]
0Pxw1E8mHwa9ajANCb6Jbf,Itetago,2018-11-29,Album,Single,[1J2IKDnQ0vNr92eqihMTl3,6acbdy69rtlv8m9EW31MYl]
0wq7DW4ps6H9klL6oeO4y7,Ogini Di,2018-11-01,Album,Single,[6acbdy69rtlv8m9EW31MYl,6Lhvo2fAHT54WPzMPofEeA]
5qqBs2wB2AGKhVT5pc7hcb,IWA,2018-10-01,Album,Single,[6acbdy69rtlv8m9EW31MYl]
5r769GiqpMgMx4vAzCT7Kz,N.W.A,2018-06-07,Album,Single,[6acbdy69rtlv8m9EW31MYl]
7KpVAki1UBUeBo6OjSgIV1,Onyeoma,2018-06-01,Album,Single,[6acbdy69rtlv8m9EW31MYl]
0a2MtDyQpQskDbRq6hTWD9,Aye,2018-05-04,Album,Single,[1VsvlBp2dqKk2g9EVFvxXg,6acbdy69rtlv8m9EW31MYl,4YIOi9aFNviV1jRQeiNZgO]
